Frame,Latency_ms
1,30.2043
2,32.0829
3,32.3743
4,28.1980
5,29.3940
6,31.6298
7,29.6250
8,30.1597
9,28.5055
10,24.6423
11,26.6011
12,25.7041
13,25.4283
14,31.3661
15,25.7147
16,26.1643
17,25.8149
18,28.2838
19,24.1626
20,26.8751
21,26.0717
22,23.9973
23,26.0148
24,28.4754
25,25.6906
26,27.2232
27,26.6177
28,26.8855
29,28.9593
30,28.9567
31,25.1473
32,27.0830
33,25.7362
34,29.4451
35,26.5474
36,27.0441
37,27.5093
38,27.0498
39,25.7070
40,27.5346
41,26.1403
42,25.9173
43,28.1216
44,27.2912
45,27.8411
46,27.1106
47,25.8517
48,25.2738
49,25.4155
50,28.4891
51,30.5241
52,26.1708
53,25.6939
54,23.6798
55,26.1572
56,29.9771
57,25.1569
58,26.6709
59,24.8532
60,25.0308
61,24.5060
62,24.6488
63,24.3600
64,24.5441
65,26.6475
66,25.3945
67,26.2644
68,24.8482
69,24.9748
70,25.5672
71,30.2275
72,26.0538
73,25.7262
74,23.1968
75,24.4182
76,25.1473
77,23.8073
78,28.4194
79,22.9967
80,23.9249
81,23.2496
82,23.5890
83,25.7857
84,25.8434
85,25.1002
86,25.5015
87,25.8078
88,23.7150
89,29.4146
90,25.6759
91,25.2415
92,24.4583
93,28.2554
94,27.5421
95,24.6125
96,24.0423
97,25.0917
98,26.5238
99,25.2194
100,30.0172
101,25.4477
102,24.6806
103,25.4954
104,24.9370
105,24.9002
106,24.4460
107,28.1789
108,28.2824
109,23.9138
110,23.1851
111,25.2626
112,23.6456
113,24.3436
114,25.8310
115,23.7271
116,24.4310
117,22.2688
118,25.6968
119,25.4576
120,25.2726
121,26.9840
122,26.3371
123,24.5658
124,27.9530
125,25.1507
126,25.0817
127,25.6859
128,25.6963
129,24.9125
130,24.0368
131,24.4441
132,27.5281
133,25.0590
134,25.0437
135,26.6052
136,25.4346
137,26.4571
138,25.0105
139,24.8303
140,26.1030
141,24.8668
142,29.8768
143,25.1930
144,24.1390
145,26.4671
146,26.2043
147,27.2585
148,25.8975
149,26.5011
150,25.2859
151,26.2773
152,24.8029
153,26.0345
154,25.1351
155,25.9613
156,26.9399
157,26.0824
158,25.8648
159,26.8175
160,25.5656
161,24.1932
162,24.2277
163,25.5383
164,23.1589
165,25.5384
166,24.2232
167,24.4915
168,25.5456
169,26.5534
170,24.9983
171,26.0856
172,23.5110
173,25.3370
174,27.2683
175,24.8752
176,27.2808
177,25.7387
178,25.8746
179,25.4116
180,24.8658
181,28.0322
182,26.4539
183,24.4203
184,25.2787
185,25.3582
186,24.2191
187,25.2457
188,26.8037
189,24.5043
190,23.4192
191,26.2682
192,25.4488
193,25.1732
194,24.8385
195,23.7214
196,25.7821
197,23.8350
198,25.4807
199,24.6343
200,24.0704
201,26.0169
202,25.3873
203,24.1839
204,23.9821
205,29.2505
206,24.5944
207,24.8499
208,24.5114
209,24.6331
210,25.8384
211,24.2853
212,25.0048
213,25.5166
214,25.3100
215,24.3998
216,23.4782
217,24.9437
218,26.6367
219,26.3659
220,25.1146
221,25.8735
222,24.8758
223,24.7584
224,24.4307
225,25.8837
226,25.2104
227,26.3500
228,26.3682
229,24.5683
230,25.2658
231,26.2001
232,25.4423
233,26.8070
234,25.6069
235,25.7778
236,26.3488
237,25.8156
238,26.1586
239,25.6058
240,26.2668
241,29.8958
242,25.2694
243,25.6840
244,26.9145
245,26.6237
246,26.7678
247,25.2286
248,27.4293
249,24.6332
250,26.8249
251,26.1524
252,26.0476
253,24.2882
254,26.8655
255,25.3585
256,26.6417
257,26.2196
258,25.6738
259,27.4089
260,25.5543
261,25.4635
262,25.0046
263,24.5890
264,26.1555
265,23.9271
266,23.8587
267,24.9723
268,26.4533
269,24.7053
270,24.6318
271,24.6779
272,24.5359
273,28.1994
274,24.4266
275,26.3567
276,26.0600
277,26.9122
278,24.6837
279,25.1688
280,25.1208
281,24.5361
282,24.3817
283,25.5331
284,23.7725
285,25.7178
286,25.3607
287,25.5689
288,25.1386
289,24.8594
290,27.2854
291,26.7733
292,24.5525
293,25.0011
294,23.9621
295,24.4237
296,25.6204
297,24.9388
298,26.1735
299,25.4404
300,27.0585
301,25.4582
302,24.6351
303,24.7152
304,24.4842
305,24.9304
306,24.0148
307,23.9191
308,23.7222
309,23.8718
310,24.1866
311,23.7708
312,24.3034
313,25.2365
314,24.5655
315,24.8928
316,25.5435
317,24.7904
318,22.8074
319,22.8558
320,24.5824
321,23.4940
322,23.3694
323,24.4859
324,24.0345
325,24.1327
326,24.6141
327,25.8145
328,23.7782
329,24.7037
330,23.8439
331,24.7900
332,23.9437
333,25.6206
334,25.7555
335,24.5211
336,25.6023
337,24.2516
338,24.2743
339,24.5306
340,24.7994
341,24.8093
342,24.3082
343,25.1320
344,25.1759
345,25.9669
346,24.1616
347,26.0064
348,32.7539
349,25.1036
350,24.8929
351,24.0119
352,25.8189
353,23.9584
354,24.5068
355,24.0507
356,24.3976
357,24.2486
358,24.4186
359,24.1104
360,24.4596
361,23.9543
362,24.3491
363,23.8915
364,24.5923
365,24.5031
366,24.7367
367,23.6532
368,28.6465
369,23.0249
370,23.6463
371,22.6652
372,26.0271
373,24.1660
374,24.3064
375,24.0771
376,24.7877
377,24.2868
378,23.4689
379,25.1547
380,24.8492
381,24.8065
382,28.3961
383,24.4606
384,24.3540
385,25.0188
386,24.1182
387,24.9864
388,24.3584
389,25.2315
390,24.5457
391,24.9945
392,24.2445
393,24.5600
394,24.6538
395,24.5419
396,22.7275
397,25.1124
398,29.1816
399,25.3179
400,25.5107
401,26.1204
402,24.8898
403,24.1508
404,24.5281
405,25.1301
406,24.3543
407,25.3011
408,24.2055
409,24.9891
410,24.2228
411,25.5427
412,24.3440
413,23.6202
414,24.6220
415,24.6169
416,25.5504
417,25.6358
418,24.0225
419,24.4891
420,25.8908
421,24.2284
422,24.3376
423,24.3246
424,24.0375
425,23.0427
426,23.5156
427,24.7732
428,25.6546
429,24.2691
430,23.9655
431,22.9948
432,23.8749
433,23.6889
434,24.3656
435,25.1276
436,25.8349
437,25.5958
438,24.4307
439,24.0914
440,24.7866
441,26.9848
442,24.9910
443,23.8167
444,25.1515
445,24.4672
446,24.2309
447,25.4004
448,24.1031
449,25.6836
450,25.2079
451,27.1762
452,26.5344
453,26.8650
454,26.6002
455,26.1271
456,25.5081
457,24.7925
458,23.8965
459,26.1757
460,24.6576
461,25.0793
462,23.5145
463,24.1179
464,24.0180
465,24.5911
466,24.1852
467,25.1908
468,24.8029
469,24.1259
470,24.1544
471,23.7652
472,23.8911
473,24.5787
474,25.1079
475,24.6059
476,26.0630
477,23.2113
478,24.3017
479,25.4069
480,24.5897
481,25.0849
482,23.6896
483,23.5434
484,25.1237
485,24.1398
486,23.8078
487,23.7823
488,25.2152
489,24.6879
490,25.2753
491,24.0626
492,26.4052
493,23.0020
494,24.5292
495,24.5660
496,23.1744
497,24.0085
498,25.2118
499,23.6911
500,24.8043
501,24.6560
502,25.5474
503,25.0875
504,23.6477
505,25.2122
506,24.1860
507,25.6789
508,25.2124
509,24.4680
510,24.5109
511,25.8272
512,24.2105
513,29.5383
514,22.7056
515,25.0544
516,24.9024
517,23.7752
518,24.5449
519,28.7172
520,26.4865
521,23.7854
522,24.1561
523,23.6078
524,24.9859
525,25.4416
526,24.2368
527,23.2170
528,25.8983
529,23.6665
530,24.1512
531,24.6510
532,23.3863
533,24.2414
534,23.9454
535,23.4923
536,25.5870
537,25.2600
538,24.4481
539,24.1650
540,24.4396
541,24.0169
542,26.0833
543,24.1015
544,25.8064
545,22.8901
546,26.0761
547,23.8346
