Frame,Latency_ms
1,31.7540
2,33.5045
3,29.1961
4,27.9538
5,31.7492
6,32.7525
7,28.5101
8,28.3736
9,29.6075
10,28.9227
11,28.2488
12,26.9309
13,28.0310
14,28.3670
15,28.8708
16,28.6736
17,32.1151
18,32.9941
19,33.9101
20,31.3382
21,28.5589
22,28.1612
23,28.6830
24,29.7764
25,27.9620
26,27.2256
27,26.2495
28,29.0141
29,28.4118
30,28.1529
31,28.6246
32,27.9868
33,26.9207
34,31.0088
35,28.8168
36,33.8588
37,30.3139
38,37.6299
39,29.3520
40,29.5982
41,30.7738
42,29.5337
43,30.0720
44,28.8464
45,31.4792
46,28.4833
47,30.7425
48,30.7369
49,29.6538
50,28.5764
51,30.7528
52,28.5730
53,28.5356
54,30.2335
55,30.0043
56,32.3348
57,33.1139
58,30.8093
59,27.0793
60,27.4599
61,26.7578
62,27.3534
63,27.5003
64,31.2374
65,26.8662
66,28.7361
67,27.6069
68,28.8127
69,29.8815
70,27.6569
71,27.3784
72,27.7718
73,27.1822
74,29.1691
75,30.6363
76,26.9299
77,27.4886
78,31.4204
79,26.7336
80,27.7449
81,27.5128
82,28.1808
83,27.5415
84,27.1496
85,28.5407
86,28.3667
87,29.3847
88,32.0884
89,30.8099
90,26.8825
91,35.2459
92,27.9167
93,29.5502
94,29.5408
95,26.7183
96,28.3067
97,27.4988
98,28.6076
99,29.5338
100,29.5042
101,28.8015
102,29.5650
103,28.5420
104,27.6949
105,28.0189
106,28.9797
107,28.1464
108,26.8952
109,27.8384
110,27.3179
111,27.9230
112,27.6648
113,28.3188
114,27.6887
115,28.2350
116,28.9981
117,29.5272
118,28.3329
119,27.9609
120,28.5889
121,28.1639
122,27.6760
123,29.6472
124,27.9977
125,27.5351
126,27.9044
127,29.6724
128,27.9253
129,28.0753
130,29.6552
131,27.4372
132,29.5333
133,27.2115
134,29.2198
135,28.3846
136,28.6696
137,29.3651
138,27.1091
139,28.6956
140,27.9812
141,27.0728
142,26.2880
143,27.5699
144,27.2388
145,27.5593
146,26.8046
147,27.0839
148,27.1132
149,29.4947
150,28.7849
151,28.8635
152,28.2015
153,28.9600
154,28.2078
155,28.4006
156,27.8025
157,27.5205
158,27.4558
159,27.4671
160,27.7015
161,30.2233
162,28.0080
163,28.1004
164,27.0791
165,28.1088
166,26.3904
167,26.1894
168,28.2606
169,29.8569
170,28.3065
171,29.2512
172,27.0286
173,27.7718
174,27.4078
175,26.6352
176,26.8312
177,28.3718
178,27.0992
179,27.0732
180,28.4308
181,29.8393
182,29.1506
183,27.6055
184,29.6010
185,32.6764
186,30.5110
187,30.6414
188,31.2398
189,32.9546
190,28.4308
191,28.3079
192,27.4109
193,26.7565
194,26.5126
195,28.6442
196,28.0130
197,27.9456
198,28.4772
199,28.0010
200,27.1650
201,27.7571
202,28.6368
203,28.9086
204,28.8030
205,27.9230
206,27.1068
207,28.9455
208,27.4758
209,27.4780
210,26.5866
211,28.5437
212,27.4129
213,27.7863
214,27.3050
215,28.6048
216,28.0071
217,28.9768
218,28.1257
219,29.4333
220,27.6944
221,28.3715
222,27.3185
223,29.2389
224,28.6232
225,25.9156
226,28.4880
227,29.3892
228,28.3720
229,27.7667
